Inspection Date,Score
01/27/2014,100
08/18/2016,85
12/18/2014,72
01/22/2015,95
02/19/2015,100
11/14/2013,85
11/06/2014,100
01/25/2016,89
04/05/2016,76
11/10/2015,75
09/10/2014,81
03/03/2015,79
02/02/2015,85
07/01/2014,96
10/13/2015,95
01/12/2015,100
02/04/2014,86
10/22/2015,97
09/15/2015,95
03/25/2015,97
06/18/2014,82
02/24/2015,94
06/15/2016,86
06/04/2015,94
12/01/2015,85
11/09/2015,88
10/03/2016,99
01/23/2015,97
11/13/2014,84
06/11/2015,96
01/29/2016,100
01/26/2016,96
07/15/2016,95
09/26/2014,100
09/29/2016,96
05/12/2015,83
03/18/2015,83
06/12/2015,88
04/06/2016,100
03/18/2015,100
05/09/2016,96
03/06/2015,100
08/01/2016,99
02/25/2016,93
06/30/2016,94
01/15/2015,80
07/21/2016,96
06/13/2014,100
03/04/2015,79
04/30/2015,97
09/14/2016,89
07/20/2015,97
08/22/2016,94
08/22/2014,87
09/01/2016,92
02/03/2016,96
05/31/2016,91
04/28/2015,93
08/06/2015,100
10/07/2014,96
12/22/2015,90
08/05/2015,97
03/03/2016,93
02/27/2014,90
04/12/2016,82
08/05/2015,91
09/09/2014,100
07/01/2015,89
11/10/2014,97
08/25/2015,87
12/02/2014,90
08/19/2015,90
07/16/2014,88
06/02/2014,91
06/19/2014,97
10/22/2015,95
09/10/2014,73
03/27/2015,100
02/24/2015,94
04/01/2014,96
08/21/2014,100
04/10/2015,100
02/12/2014,84
05/28/2014,100
07/14/2014,85
08/06/2015,87
12/08/2015,91
10/21/2014,86
06/30/2016,93
06/15/2016,86
10/19/2015,93
01/06/2016,93
08/18/2014,87
01/07/2015,100
03/29/2016,82
09/08/2016,100
05/20/2014,95
01/07/2015,80
05/29/2014,94
06/01/2016,99
02/26/2015,94
05/24/2016,87
11/19/2014,100
02/24/2014,86
06/02/2016,95
08/01/2014,97
06/27/2016,90
08/09/2016,85
05/15/2015,96
09/02/2014,100
05/09/2016,90
08/27/2015,93
03/06/2015,100
06/22/2016,77
02/03/2016,87
11/27/2013,97
05/30/2014,72
12/08/2015,88
05/16/2016,93
04/16/2014,76
07/08/2015,93
09/25/2014,100
03/18/2015,84
04/08/2016,90
03/24/2015,87
05/03/2016,91
12/30/2014,100
05/08/2014,97
04/03/2015,100
06/29/2016,84
05/04/2016,87
05/05/2014,83
06/09/2015,97
04/07/2016,92
04/10/2015,97
09/02/2014,64
04/28/2015,94
10/07/2015,80
10/22/2015,93
06/09/2015,96
06/22/2015,100
04/08/2014,97
07/08/2016,89
03/06/2014,100
10/27/2015,80
07/10/2015,97
03/10/2016,87
02/26/2015,94
06/29/2016,90
08/26/2016,99
10/24/2014,97
06/03/2016,97
07/17/2015,89
01/22/2014,97
06/23/2015,94
02/03/2015,94
09/25/2014,95
06/26/2014,97
03/12/2014,100
03/25/2015,88
09/24/2015,97
06/20/2014,96
01/20/2015,100
01/28/2016,96
01/16/2015,82
12/31/2014,90
09/24/2015,92
01/08/2015,97
01/06/2014,86
02/24/2014,97
03/11/2014,97
05/22/2015,100
06/02/2015,93
09/16/2014,100
07/01/2016,98
06/23/2015,79
03/09/2016,84
03/19/2014,94
06/18/2014,100
04/12/2016,95
11/14/2013,90
11/04/2013,94
08/08/2016,86
04/11/2016,98
05/13/2014,81
02/05/2015,84
02/05/2015,87
11/05/2015,90
11/18/2015,92
03/24/2015,96
05/27/2015,100
02/05/2014,82
03/21/2014,100
04/25/2016,97
01/26/2015,96
08/03/2016,89
05/29/2014,83
09/25/2014,97
12/04/2013,72
08/10/2016,89
05/20/2016,99
01/08/2016,99
11/19/2014,100
08/25/2016,83
02/19/2016,78
01/27/2014,100
07/20/2015,89
03/25/2015,73
09/04/2014,100
08/19/2015,100
01/12/2015,82
03/03/2016,87
02/10/2015,94
11/24/2014,97
06/15/2016,94
05/20/2015,100
10/27/2015,92
03/24/2015,79
01/16/2014,90
04/14/2016,100
08/11/2016,86
07/21/2015,87
09/11/2014,74
09/04/2014,89
10/07/2015,97
09/09/2016,97
10/23/2014,97
04/30/2015,97
06/16/2016,100
11/19/2013,97
07/21/2014,93
06/09/2016,77
10/27/2015,93
08/28/2014,87
08/10/2015,97
03/28/2014,100
06/07/2016,74
11/25/2015,92
06/28/2016,97
10/07/2014,91
09/30/2014,92
08/12/2016,93
12/18/2013,88
10/27/2015,89
02/13/2015,100
09/24/2015,92
04/30/2015,97
02/01/2016,77
03/25/2014,89
09/24/2015,76
05/20/2015,90
06/05/2014,97
08/02/2016,84
08/29/2014,97
12/19/2014,100
03/20/2014,93
07/23/2014,88
09/17/2015,80
01/21/2016,94
11/18/2015,90
11/05/2015,99
02/18/2016,83
08/23/2016,83
10/22/2015,100
10/10/2014,100
08/12/2016,92
08/17/2016,100
05/19/2016,92
04/23/2015,96
10/17/2014,97
